date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2021-12-31;01:00:00;Executed;"SQ93MK16WP8VYK9C8NTITZ";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;100,00;0,00;;EUR
2021-12-22;01:00:00;Executed;"WWEK 06138145";"Invesco S&P 500 High Dividend Low Volatility UCITS ETF Dist";Cash;Distribution;IE00BWTN6Y99;;;2,07;0,00;0,00;EUR
2021-12-01;11:53:42;Executed;"SCALLsJMyhsdskZ";"Invesco S&P 500 High Dividend Low Volatility UCITS ETF Dist";Security;Savings plan;IE00BWTN6Y99;0,879;28,435;-24,9943;0,00;0,00;EUR
2021-12-01;11:51:24;Executed;"SCALkP9MFxPWXwM";"iShares Core MSCI World UCITS ETF";Security;Savings plan;IE00B4L5Y983;0,325;76,718;-24,9333;0,00;0,00;EUR
2021-12-01;11:51:19;Executed;"SCALyszks93imc9";"iShares Global Clean Energy UCITS ETF USD (Dist)";Security;Savings plan;IE00B1XNHC34;2,086;11,98;-24,9902;0,00;0,00;EUR
2021-12-01;11:32:08;Executed;"SCALYUcoSUqvdmg";"iShares MSCI World ESG Enhanced UCITS ETF USD (Acc)";Security;Savings plan;IE00BHZPJ569;3,63;6,887;-24,9998;0,00;0,00;EUR
2021-11-30;01:00:00;Executed;"CUSX4LRQSDRIQDUZ18KUHK";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;100,00;0,00;;EUR
2021-11-29;01:00:00;Executed;"WWEK 05905828";"iShares Global Clean Energy UCITS ETF USD (Dist)";Cash;Distribution;IE00B1XNHC34;;;0,76;0,00;0,00;EUR
2021-11-15;01:00:00;Executed;"WWEK 05771229";"Apple Inc";Cash;Distribution;US0378331005;;;0,81;0,00;0,34;EUR
2021-11-01;15:56:30;Executed;"SCALDvMq94ZugZk";"PayPal Hldgs. Inc";Security;Buy;US70450Y1038;2;199,50;-399,00;0,00;0,00;EUR
2021-11-01;15:54:06;Executed;"SCALX5491e3qEAn";"Plug Power Inc";Security;Sell;US72919P2020;11;34,71;381,81;0,00;0,00;EUR
2021-11-01;12:03:14;Executed;"SCALDHnnqyqT3Fp";"iShares Core MSCI World UCITS ETF";Security;Savings plan;IE00B4L5Y983;0,328;76,19;-24,9903;0,00;0,00;EUR
2021-11-01;11:36:24;Executed;"SCALXBcd581AUcx";"iShares Global Clean Energy UCITS ETF USD (Dist)";Security;Savings plan;IE00B1XNHC34;1,974;12,66;-24,9908;0,00;0,00;EUR
2021-11-01;11:35:35;Executed;"SCAL8CjpLw6UdNZ";"Invesco S&P 500 High Dividend Low Volatility UCITS ETF Dist";Security;Savings plan;IE00BWTN6Y99;0,879;28,435;-24,9943;0,00;0,00;EUR
2021-11-01;11:12:44;Executed;"SCALv4UsTSSuGhL";"iShares MSCI World ESG Enhanced UCITS ETF USD (Acc)";Security;Savings plan;IE00BHZPJ569;3,656;6,837;-24,996;0,00;0,00;EUR
2021-10-29;02:00:00;Executed;"UNBABJCEJHRS52GKKS5WB4";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;100,00;0,00;;EUR
2021-10-04;12:01:35;Executed;"SCALGXy3NaQ2Dbh";"iShares Core MSCI World UCITS ETF";Security;Savings plan;IE00B4L5Y983;0,348;71,64;-24,9307;0,00;0,00;EUR
2021-10-04;11:33:25;Executed;"SCALQ7Bn3gTZZsJ";"iShares Global Clean Energy UCITS ETF USD (Dist)";Security;Savings plan;IE00B1XNHC34;2,362;10,58;-24,9899;0,00;0,00;EUR
2021-10-04;11:22:39;Executed;"SCALWn7A1zCC5vf";"iShares MSCI World ESG Enhanced UCITS ETF USD (Acc)";Security;Savings plan;IE00BHZPJ569;3,895;6,418;-24,9981;0,00;0,00;EUR
2021-10-04;11:20:34;Executed;"SCAL2ZSsodjhuW9";"Invesco S&P 500 High Dividend Low Volatility UCITS ETF Dist";Security;Savings plan;IE00BWTN6Y99;0,895;27,91;-24,9794;0,00;0,00;EUR
2021-10-01;02:00:00;Executed;"96BB8NVH1SFGBVT2XCNIUF";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;100,00;0,00;;EUR
2021-09-21;02:00:00;Executed;"WWEK 05292275";"Invesco S&P 500 High Dividend Low Volatility UCITS ETF Dist";Cash;Distribution;IE00BWTN6Y99;;;1,11;0,00;0,00;EUR
2021-09-02;12:01:43;Executed;"SCALZkneKsBZWkW";"iShares Core MSCI World UCITS ETF";Security;Savings plan;IE00B4L5Y983;0,34;73,394;-24,9539;0,00;0,00;EUR
2021-09-02;11:51:32;Executed;"SCALcnJ6zEgRsFb";"Invesco S&P 500 High Dividend Low Volatility UCITS ETF Dist";Security;Savings plan;IE00BWTN6Y99;0,875;28,56;-24,9899;0,00;0,00;EUR
