date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2025-12-30;13:41:40;Executed;"SCALt6v6mdAU9am";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;15;48,33;-724,95;0,00;0,00;EUR
2025-12-30;13:40:56;Executed;"SCALtqNnbsq63Kh";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;9;48,26;-434,34;0,00;0,00;EUR
2025-12-30;13:40:26;Executed;"SCALWJXAaL5qAFp";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;20;48,26;-965,20;0,00;0,00;EUR
2025-12-30;13:22:21;Executed;"SCAL1vSJRidaChn";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;6;48,285;-289,71;0,00;0,00;EUR
2025-12-30;13:08:09;Executed;"SCALk7EsekoWch7";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;10;48,205;-482,05;0,00;0,00;EUR
2025-12-30;12:48:03;Executed;"SCALiM5xjLM3eDk";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;3;48,115;-144,345;0,99;0,00;EUR
2025-12-30;12:47:32;Executed;"SCALNFjLuwd9P77";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;2;48,115;-96,23;0,99;0,00;EUR
2025-12-30;12:47:06;Executed;"SCALz2YW1E5WguJ";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;15;48,11;-721,65;0,00;0,00;EUR
2025-12-30;12:45:42;Executed;"SCALjysViNoApof";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;15;48,11;-721,65;0,00;0,00;EUR
2025-12-30;12:43:47;Executed;"SCAL5ptrNkapfkW";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;15;48,115;-721,725;0,00;0,00;EUR
2025-12-30;12:39:28;Executed;"SCALAEmZEkic8rL";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;10;48,10;-481,00;0,00;0,00;EUR
2025-12-30;12:37:55;Executed;"SCALWHrG6uf1eUL";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;10;48,10;-481,00;0,00;0,00;EUR
2025-12-30;12:35:13;Executed;"SCALsiXLBtn5dXp";"Global X Copper Miners (Acc)";Security;Buy;IE0003Z9E2Y3;10;48,10;-481,00;0,00;0,00;EUR
